source	web_link
apanidhānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/apanidhānasikkhāpadaṃ/apanidhānasikkhāpadaṃ.html
sañciccasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sañciccasikkhāpadaṃ/sañciccasikkhāpadaṃ.html
sappāṇakasikkhāpadaṃ 2	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sappāṇakasikkhāpadaṃ 2/sappāṇakasikkhāpadaṃ 2.html
ukkoṭanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ukkoṭanasikkhāpadaṃ/ukkoṭanasikkhāpadaṃ.html
duṭṭhullasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/duṭṭhullasikkhāpadaṃ/duṭṭhullasikkhāpadaṃ.html
ūnavīsativassasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ūnavīsativassasikkhāpadaṃ/ūnavīsativassasikkhāpadaṃ.html
theyyasatthasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/theyyasatthasikkhāpadaṃ/theyyasatthasikkhāpadaṃ.html
saṃvidhānasikkhāpadaṃ 2	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/saṃvidhānasikkhāpadaṃ 2/saṃvidhānasikkhāpadaṃ 2.html
ariṭṭhasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ariṭṭhasikkhāpadaṃ/ariṭṭhasikkhāpadaṃ.html
ukkhittasambhogasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ukkhittasambhogasikkhāpadaṃ/ukkhittasambhogasikkhāpadaṃ.html
kaṇṭakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kaṇṭakasikkhāpadaṃ/kaṇṭakasikkhāpadaṃ.html
sahadhammikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sahadhammikasikkhāpadaṃ/sahadhammikasikkhāpadaṃ.html
vilekhanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vilekhanasikkhāpadaṃ/vilekhanasikkhāpadaṃ.html
mohanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/mohanasikkhāpadaṃ/mohanasikkhāpadaṃ.html
pahārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pahārasikkhāpadaṃ/pahārasikkhāpadaṃ.html
talasattikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/talasattikasikkhāpadaṃ/talasattikasikkhāpadaṃ.html
amūlakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/amūlakasikkhāpadaṃ/amūlakasikkhāpadaṃ.html
sañciccasikkhāpadaṃ 2	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sañciccasikkhāpadaṃ 2/sañciccasikkhāpadaṃ 2.html
upassutisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/upassutisikkhāpadaṃ/upassutisikkhāpadaṃ.html
kammappaṭibāhanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kammappaṭibāhanasikkhāpadaṃ/kammappaṭibāhanasikkhāpadaṃ.html
chandaṃadatvāgamanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/chandaṃadatvāgamanasikkhāpadaṃ/chandaṃadatvāgamanasikkhāpadaṃ.html
dubbalasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dubbalasikkhāpadaṃ/dubbalasikkhāpadaṃ.html
pariṇāmanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pariṇāmanasikkhāpadaṃ/pariṇāmanasikkhāpadaṃ.html
antepurasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/antepurasikkhāpadaṃ/antepurasikkhāpadaṃ.html
ratanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ratanasikkhāpadaṃ/ratanasikkhāpadaṃ.html
vikālagāmappavesanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vikālagāmappavesanasikkhāpadaṃ/vikālagāmappavesanasikkhāpadaṃ.html
sūcigharasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sūcigharasikkhāpadaṃ/sūcigharasikkhāpadaṃ.html
mañcapīṭhasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/mañcapīṭhasikkhāpadaṃ/mañcapīṭhasikkhāpadaṃ.html
tūlonaddhasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/tūlonaddhasikkhāpadaṃ/tūlonaddhasikkhāpadaṃ.html
nisīdanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nisīdanasikkhāpadaṃ/nisīdanasikkhāpadaṃ.html
kaṇḍuppaṭicchādisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kaṇḍuppaṭicchādisikkhāpadaṃ/kaṇḍuppaṭicchādisikkhāpadaṃ.html
vassikasāṭikāsikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vassikasāṭikāsikkhāpadaṃ/vassikasāṭikāsikkhāpadaṃ.html
nandasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nandasikkhāpadaṃ/nandasikkhāpadaṃ.html
pācittiyā	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pācittiyā/pācittiyā.html
pāṭidesanīyā	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pāṭidesanīyā/pāṭidesanīyā.html
paṭhamapāṭidesanīyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paṭhamapāṭidesanīyasikkhāpadaṃ/paṭhamapāṭidesanīyasikkhāpadaṃ.html
dutiyapāṭidesanīyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dutiyapāṭidesanīyasikkhāpadaṃ/dutiyapāṭidesanīyasikkhāpadaṃ.html
tatiyapāṭidesanīyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/tatiyapāṭidesanīyasikkhāpadaṃ/tatiyapāṭidesanīyasikkhāpadaṃ.html
catutthapāṭidesanīyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/catutthapāṭidesanīyasikkhāpadaṃ/catutthapāṭidesanīyasikkhāpadaṃ.html
sekhiyā	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sekhiyā/sekhiyā.html
parimaṇḍalasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/parimaṇḍalasikkhāpadaṃ/parimaṇḍalasikkhāpadaṃ.html
parimaṇḍalasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/parimaṇḍalasikkhāpadaṃ/parimaṇḍalasikkhāpadaṃ.html
suppaṭicchannasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/suppaṭicchannasikkhāpadaṃ/suppaṭicchannasikkhāpadaṃ.html
suppaṭicchannasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/suppaṭicchannasikkhāpadaṃ/suppaṭicchannasikkhāpadaṃ.html
susaṃvutasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/susaṃvutasikkhāpadaṃ/susaṃvutasikkhāpadaṃ.html
susaṃvutasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/susaṃvutasikkhāpadaṃ/susaṃvutasikkhāpadaṃ.html
okkhittacakkhusikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/okkhittacakkhusikkhāpadaṃ/okkhittacakkhusikkhāpadaṃ.html
okkhittacakkhusikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/okkhittacakkhusikkhāpadaṃ/okkhittacakkhusikkhāpadaṃ.html
ukkhittakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ukkhittakasikkhāpadaṃ/ukkhittakasikkhāpadaṃ.html
ukkhittakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ukkhittakasikkhāpadaṃ/ukkhittakasikkhāpadaṃ.html
ujjagghikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ujjagghikasikkhāpadaṃ/ujjagghikasikkhāpadaṃ.html
ujjagghikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ujjagghikasikkhāpadaṃ/ujjagghikasikkhāpadaṃ.html
uccasaddasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/uccasaddasikkhāpadaṃ/uccasaddasikkhāpadaṃ.html
uccasaddasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/uccasaddasikkhāpadaṃ/uccasaddasikkhāpadaṃ.html
kāyappacālakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kāyappacālakasikkhāpadaṃ/kāyappacālakasikkhāpadaṃ.html
kāyappacālakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kāyappacālakasikkhāpadaṃ/kāyappacālakasikkhāpadaṃ.html
bāhuppacālakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/bāhuppacālakasikkhāpadaṃ/bāhuppacālakasikkhāpadaṃ.html
bāhuppacālakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/bāhuppacālakasikkhāpadaṃ/bāhuppacālakasikkhāpadaṃ.html
sīsappacālakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sīsappacālakasikkhāpadaṃ/sīsappacālakasikkhāpadaṃ.html
sīsappacālakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sīsappacālakasikkhāpadaṃ/sīsappacālakasikkhāpadaṃ.html
khambhakatasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/khambhakatasikkhāpadaṃ/khambhakatasikkhāpadaṃ.html
khambhakatasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/khambhakatasikkhāpadaṃ/khambhakatasikkhāpadaṃ.html
oguṇṭhitasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/oguṇṭhitasikkhāpadaṃ/oguṇṭhitasikkhāpadaṃ.html
oguṇṭhitasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/oguṇṭhitasikkhāpadaṃ/oguṇṭhitasikkhāpadaṃ.html
ukkuṭikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ukkuṭikasikkhāpadaṃ/ukkuṭikasikkhāpadaṃ.html
pallatthikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pallatthikasikkhāpadaṃ/pallatthikasikkhāpadaṃ.html
sakkaccapaṭiggahaṇasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sakkaccapaṭiggahaṇasikkhāpadaṃ/sakkaccapaṭiggahaṇasikkhāpadaṃ.html
pattasaññīpaṭiggahaṇasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pattasaññīpaṭiggahaṇasikkhāpadaṃ/pattasaññīpaṭiggahaṇasikkhāpadaṃ.html
samasūpakapaṭiggahaṇasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/samasūpakapaṭiggahaṇasikkhāpadaṃ/samasūpakapaṭiggahaṇasikkhāpadaṃ.html
samatittikasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/samatittikasikkhāpadaṃ/samatittikasikkhāpadaṃ.html
sakkaccabhuñjanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sakkaccabhuñjanasikkhāpadaṃ/sakkaccabhuñjanasikkhāpadaṃ.html
pattasaññībhuñjanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pattasaññībhuñjanasikkhāpadaṃ/pattasaññībhuñjanasikkhāpadaṃ.html
sapadānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sapadānasikkhāpadaṃ/sapadānasikkhāpadaṃ.html
samasūpakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/samasūpakasikkhāpadaṃ/samasūpakasikkhāpadaṃ.html
nathūpakatasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nathūpakatasikkhāpadaṃ/nathūpakatasikkhāpadaṃ.html
odanappaṭicchādanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/odanappaṭicchādanasikkhāpadaṃ/odanappaṭicchādanasikkhāpadaṃ.html
sūpodanaviññattisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sūpodanaviññattisikkhāpadaṃ/sūpodanaviññattisikkhāpadaṃ.html
ujjhānasaññīsikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ujjhānasaññīsikkhāpadaṃ/ujjhānasaññīsikkhāpadaṃ.html
kabaḷasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kabaḷasikkhāpadaṃ/kabaḷasikkhāpadaṃ.html
ālopasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ālopasikkhāpadaṃ/ālopasikkhāpadaṃ.html
anāhaṭasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/anāhaṭasikkhāpadaṃ/anāhaṭasikkhāpadaṃ.html
bhuñjamānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/bhuñjamānasikkhāpadaṃ/bhuñjamānasikkhāpadaṃ.html
sakabaḷasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sakabaḷasikkhāpadaṃ/sakabaḷasikkhāpadaṃ.html
piṇḍukkhepakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/piṇḍukkhepakasikkhāpadaṃ/piṇḍukkhepakasikkhāpadaṃ.html
kabaḷāvacchedakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kabaḷāvacchedakasikkhāpadaṃ/kabaḷāvacchedakasikkhāpadaṃ.html
avagaṇḍakārakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/avagaṇḍakārakasikkhāpadaṃ/avagaṇḍakārakasikkhāpadaṃ.html
hatthaniddhunakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/hatthaniddhunakasikkhāpadaṃ/hatthaniddhunakasikkhāpadaṃ.html
sitthāvakārakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sitthāvakārakasikkhāpadaṃ/sitthāvakārakasikkhāpadaṃ.html
jivhānicchārakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/jivhānicchārakasikkhāpadaṃ/jivhānicchārakasikkhāpadaṃ.html
capucapukārakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/capucapukārakasikkhāpadaṃ/capucapukārakasikkhāpadaṃ.html
surusurukārakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/surusurukārakasikkhāpadaṃ/surusurukārakasikkhāpadaṃ.html
hatthanillehakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/hatthanillehakasikkhāpadaṃ/hatthanillehakasikkhāpadaṃ.html
pattanillehakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pattanillehakasikkhāpadaṃ/pattanillehakasikkhāpadaṃ.html
oṭṭhanillehakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/oṭṭhanillehakasikkhāpadaṃ/oṭṭhanillehakasikkhāpadaṃ.html
sāmisasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sāmisasikkhāpadaṃ/sāmisasikkhāpadaṃ.html
sasitthakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sasitthakasikkhāpadaṃ/sasitthakasikkhāpadaṃ.html
chattapāṇisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/chattapāṇisikkhāpadaṃ/chattapāṇisikkhāpadaṃ.html
daṇḍapāṇisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/daṇḍapāṇisikkhāpadaṃ/daṇḍapāṇisikkhāpadaṃ.html
satthapāṇisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/satthapāṇisikkhāpadaṃ/satthapāṇisikkhāpadaṃ.html
āvudhapāṇisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/āvudhapāṇisikkhāpadaṃ/āvudhapāṇisikkhāpadaṃ.html
pādukasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pādukasikkhāpadaṃ/pādukasikkhāpadaṃ.html
upāhanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/upāhanasikkhāpadaṃ/upāhanasikkhāpadaṃ.html
yānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/yānasikkhāpadaṃ/yānasikkhāpadaṃ.html
sayanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sayanasikkhāpadaṃ/sayanasikkhāpadaṃ.html
pallatthikasikkhāpadaṃ 2	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pallatthikasikkhāpadaṃ 2/pallatthikasikkhāpadaṃ 2.html
veṭhitasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/veṭhitasikkhāpadaṃ/veṭhitasikkhāpadaṃ.html
oguṇṭhitasikkhāpadaṃ 2	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/oguṇṭhitasikkhāpadaṃ 2/oguṇṭhitasikkhāpadaṃ 2.html
chamāsikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/chamāsikkhāpadaṃ/chamāsikkhāpadaṃ.html
nīcāsanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nīcāsanasikkhāpadaṃ/nīcāsanasikkhāpadaṃ.html
ṭhitasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ṭhitasikkhāpadaṃ/ṭhitasikkhāpadaṃ.html
pacchatogamanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pacchatogamanasikkhāpadaṃ/pacchatogamanasikkhāpadaṃ.html
uppathenagamanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/uppathenagamanasikkhāpadaṃ/uppathenagamanasikkhāpadaṃ.html
ṭhitouccārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/ṭhitouccārasikkhāpadaṃ/ṭhitouccārasikkhāpadaṃ.html
hariteuccārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/hariteuccārasikkhāpadaṃ/hariteuccārasikkhāpadaṃ.html
udakeuccārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/udakeuccārasikkhāpadaṃ/udakeuccārasikkhāpadaṃ.html
adhikaraṇasamathā	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/adhikaraṇasamathā/adhikaraṇasamathā.html
